epoch;accuracy;loss;val_accuracy;val_loss
0;0.58;0.82;0.59;0.88
1;0.71;0.56;0.71;0.56
2;0.79;0.46;0.69;0.57
3;0.82;0.39;0.70;0.62
4;0.83;0.37;0.74;0.51
5;0.88;0.29;0.87;0.32
6;0.91;0.21;0.87;0.39
7;0.82;0.37;0.73;0.53
8;0.85;0.34;0.88;0.42
9;0.79;0.44;0.56;284.36
10;0.83;0.39;0.77;880.21
11;0.88;0.29;0.78;27.07
12;0.89;0.25;0.79;1.16
13;0.88;0.29;0.85;0.43
14;0.90;0.24;0.80;1.63
15;0.94;0.16;0.88;0.45
16;0.97;0.09;0.85;0.92
17;0.97;0.07;0.83;90.61
18;0.94;0.15;0.86;13.82
19;0.95;0.13;0.87;378.35
20;0.97;0.07;0.89;0.59
21;0.99;0.02;0.89;14.45
22;0.98;0.05;0.84;10.45
23;0.98;0.04;0.89;1.15
24;0.99;0.02;0.88;1.99
25;0.94;0.15;0.77;19.90
26;0.95;0.12;0.85;24.30
27;0.97;0.07;0.87;694.10
28;0.99;0.03;0.87;7.17
29;0.99;0.02;0.80;4.69
