epoch,accuracy,loss,val_accuracy,val_loss
0,0.59,0.77,0.55,0.70
1,0.68,0.60,0.68,0.59
2,0.76,0.49,0.76,0.49
3,0.81,0.41,0.73,0.55
4,0.84,0.36,0.82,0.41
5,0.86,0.33,0.88,0.31
6,0.87,0.30,0.82,0.39
7,0.88,0.28,0.83,0.38
8,0.89,0.26,0.88,0.28
9,0.89,0.26,0.89,0.27
10,0.90,0.23,0.80,0.48
11,0.91,0.22,0.92,0.27
12,0.91,0.21,0.91,1.57
13,0.92,0.20,0.68,0.78
14,0.92,0.19,0.93,0.18
15,0.90,0.23,0.81,0.42
16,0.92,0.20,0.90,0.40
17,0.93,0.19,0.92,0.20
18,0.94,0.16,0.92,0.20
19,0.92,0.21,0.90,0.27
20,0.93,0.18,0.93,0.17
21,0.94,0.14,0.90,0.26
22,0.95,0.13,0.93,0.19
23,0.95,0.13,0.91,0.23
24,0.95,0.13,0.94,0.31
25,0.95,0.12,0.94,0.16
26,0.96,0.11,0.93,0.20
27,0.96,0.11,0.90,0.29
28,0.96,0.11,0.93,0.21
29,0.95,0.13,0.92,0.21
